Title,Type,Creation Date,Days Since Creation,Training Materials,Sessions,Enrollments,Not Started,Stuck,Completed
,,BetterUp Manage™ Skill Building Sessions (LEGACY),351,2,E-learning,{'2024-12-04': 230},24,3,{'2024-12-04': 203}
,,Introduction To Connect,351,1,E-learning,{'2024-12-04': 1},1,0,{'2024-12-04': 0}
,,Tomorrowmind Series: Well-being & Performance,352,5,E-learning,{'2024-12-04': 1447},81,145,{'2024-12-04': 1221}
,,People Leadership Credential Program,354,25,E-learning,{'2024-12-04': 1},2,8,{'2024-12-04': 42}
,,"OPTIONAL COURSE: Sales Performance Information Session Recording [November 15, 2023]",370,1,E-learning,{'2024-12-04': 253},126,2,{'2024-12-04': 58}
,,JIT Docebo Course Template [REPLACE NAME UPON DUPLICATION],397,3,E-learning,{'2024-12-04': 0},0,0,{'2024-12-04': 0}
,,Facilitating Connect Circles (old),400,16,E-learning,{'2024-12-04': 17},0,2,{'2024-12-04': 15}
,,Gilead Briefing,404,6,E-learning,{'2024-12-04': 61},3,1,{'2024-12-04': 57}
,,Introduction To BetterUp Connect (Old),410,2,E-learning,{'2024-12-04': 59},0,0,{'2024-12-04': 59}
,,WPM-Connect,410,2,E-learning,{'2024-12-04': 44},0,0,{'2024-12-04': 44}
,,Connect Skill Building Sessions,410,2,E-learning,{'2024-12-04': 44},0,0,{'2024-12-04': 44}
,,Deutsche Bank - MS Teams,415,3,E-learning,{'2024-12-04': 242},29,10,{'2024-12-04': 203}
,,Navigating Change | Specialty Coaching for AT&T,425,0,E-learning,{'2024-12-04': 1},1,0,{'2024-12-04': 0}
,,Connect 360,426,1,E-learning,{'2024-12-04': 1},0,1,{'2024-12-04': 0}
,,Date — All Together Recording (Test),432,1,E-learning,{'2024-12-04': 0},0,0,{'2024-12-04': 0}
,,Texas Children's Hospital - All Leaders,434,10,E-learning,{'2024-12-04': 578},16,11,{'2024-12-04': 551}
,,US Navy Flag Officer Development (Sept 2023),439,4,E-learning,{'2024-12-04': 29},4,2,{'2024-12-04': 23}
,,"September 27, 2023 — All Together Recording",461,1,E-learning,{'2024-12-04': 0},0,0,{'2024-12-04': 0}
,,Watch Party: All Together Q3,461,1,E-learning,{'2024-12-04': 78},9,0,{'2024-12-04': 69}
,,All Together Q3: A virtual gathering of all BetterUp Coaches and staff,461,1,E-learning,{'2024-12-04': 409},57,0,{'2024-12-04': 352}
,,Optional: Care Info Session Recordings,477,1,E-learning,{'2024-12-04': 57},6,11,{'2024-12-04': 40}
CC Goog Pilot,,Coaching Circles: Google Pilots,482,20,E-learning,{'2024-12-04': 31},1,6,{'2024-12-04': 24}
COP_E:AVS_CS,,High-Quality Connections: Attendance Verification & Survey [Spanish Peer Practice],482,2,E-learning,{'2024-12-04': 36},25,1,{'2024-12-04': 10}
ALL Pilot '23,,Allstate Pilot Briefing,482,5,E-learning,{'2024-12-04': 10},0,0,{'2024-12-04': 10}
